Headings,Text,result,COMPONENT,CC_SEGMENT_IMAGES,TOOL,JOINT
2,CAUTION: There is the possibility of a malfunction occurring if the vehicle is changed to READY status while the service plug is removed.,,"['vehicle', 'Component - remove service plug switch']","[None, 'img_7_55.png']",[],[]
2,Therefore do not change th e vehicle to READY status unless instructed to do so in the Service Manual.,,['vehicle'],[None],[],[]
2,ENVIRONMENT FOR LI-ION BATTERY DISASSEMBLY WORK 1.,,['Component - highvoltage battery harness'],['img_0_7_CC_1.png'],[],[]
2,Must be an indoor environment.,,[],[],[],[]
2,"• The environment must utilize a shutter or other m eans to shut out the outside environment and prevent rain, snow, dust, or other substances from entering.",,[],[],[],[]
2,"• The environment must not cause the intrusion of sweat during work, or cause condensation to occur due to high temperature or humidity.",,[],[],[],[]
2,"2.Metal powder, grease, and other foreign substances must not enter.",,[],[],[],[]
2,"• The indoor environment must also prevent metal powder, grease, and other foreign substances from entering due to maintenance performed on other vehicl es and other sources during disassembly work.",,['vehicl es'],[None],[],[]
2,"• If there is a risk of the above substances entering,  take appropriate countermeasures, such as use of a vinyl curtain or an equivalent to shut out the outside environment.",,[],[],[],[]
2,3.The floor must be dry.,,[],[],[],[]
2,• The floor must not be wet as a result of factors such as vehicle entry during rain or snow.,,[],[],[],[]
2,4.Work space • The work space must be approximately the size of one entire vehicle.,,['vehicle'],[None],[],[]
2,"• Take appropriate countermeasures so that persons other than the operator do not enter the work space, such as by placing signs indicating that disassembly work is in progress.",,[],[],[],[]
2,5.Standard fire fighting equipment • Always place a standard fire fighting equipment in the disassembly work area.,,[],[],"['5.Standard fire fighting equipment', 'standard fire fighting equipment']",[]
2,• Depending on type of fire (vehicle or battery) use standard fire fighting equipment (water or extin- guisher).,,"['vehicle', 'battery']","[None, None]","['standard fire fighting equipment', 'extin- guisher']",[]
2, 1.,,[],[],[],[]
2,Remove the battery pack upper case.,,['Component - : battery front'],['img_2_10.png'],[],[]
2,2.Remove Li-ion battery controller.,,['Component - highvoltage battery harness'],['img_0_7_CC_1.png'],[],[]
2,"Refer to EVB-201, ""LI-ION BATTERY CONTROLLER : Removal and Installation"" .",,['Component - highvoltage battery harness'],['img_0_7_CC_1.png'],[],[]
2,Revision: June 2014 2015 Leaf NAMEVB-208< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY 3.,,['Component - highvoltage battery harness'],['img_0_7_CC_1.png'],[],[]
2,Disconnect the high-voltage harness engagement detection switch harness connector .,,"['Component - voltage detection harness', 'Component - : harness clip']","['img_0_7_CC_8.png', 'img_8_11.png']",[],[]
4," To prevent electric shock, wear insulated protective gear.",,[],[],['insulated protective gear'],[]
2,4.Open the bus bar cover and remove the high-voltage harness connector terminal mounting bolt .DANGER: •  There is the danger of electric shock caused by contact with the terminals.,,"['Component - open bus bar cover', 'Component - ptc heater harness connector']","['img_6_20.png', 'img_0_7_CC_10.png']",[],['mounting bolt']
2,Be sure to wear insulated pro- tective gear and use insulated tools.,,[],[],"['insulated pro- tective gear', 'insulated tools']",[]
2,"• Because of the danger of electric shock, be sure to close the bus bar cover after removing the bus bar.",,"['Component - open bus bar cover', 'Component - bus bar']","['img_6_20.png', 'img_0_7_CC_3.png']",[],[]
2,5.Remove the mounting bolt  and disconnect the high-voltage harness connector from the connector flange.,,"['Component - ptc heater harness connector', 'Component - connector flange']","['img_0_7_CC_10.png', 'img_0_7_CC_10.png']",[],['mounting bolt']
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,6.Disconnect the PTC heater harness connector .,,['Component - ptc heater harness connector'],['img_0_7_CC_10.png'],[],[]
4," To prevent electric shock, wear insulated protective gear.",,[],[],['insulated protective gear'],[]
2,JSCIA0708ZZ JSCIA0709ZZ JSCIA0590ZZ JSCIA0710ZZ Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-209< UNIT DISASSEMBLY AND ASSEMBLY > P7.Remove the mounting bolts  and remove the PTC heater har- ness connector from the connector flange.,,"['Component - ptc heater harness connector', 'Component - connector flange']","['img_0_7_CC_10.png', 'img_0_7_CC_10.png']",[],['mounting bolts']
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,"8.Disconnect the vehicle communications harness connector , connector clips , and Li-ion battery heater harness connector WARNING: To prevent electric shock, wear insulated protective gear and use insulated tools.",,"['Component - vehicle communication harness', 'Component - connector flange', 'Component - liion battery heater harness connector']","['img_0_7_CC_10.png', 'img_0_7_CC_10.png', 'img_5_46.png']","['insulated protective gear', 'insulated tools']",[]
2,9.Remove the bus bar nut caps .,,['Component - bus bar nut cap'],['img_0_7_CC_5.png'],[],[]
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,"10.Remove the bus bar mounting nuts  and , and remove the bus bar (integrated with noise filter) .",,"['Component - bus bar', 'Component - bus bar']","['img_0_7_CC_3.png', 'img_0_7_CC_3.png']",[],['mounting nuts']
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,"11.Remove the harness clips, then remove the battery member pipe .WARNING: To prevent electric shock, wear insulated protective gear and use insulated tools.",,"['Component - : harness clip', 'Component - battery junction box']","['img_8_11.png', 'img_0_7_CC_7.png']","['insulated protective gear', 'insulated tools']",[]
2,NOTE: JSCIA0592ZZ JSCIA0762ZZ JSCIA0727ZZ JSCIA0728ZZ JSCIA0715ZZ Revision: June 2014 2015 Leaf NAMEVB-210< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY The right-side mounting hole is larger for facilitating removal of the battery member pipe.,,"['Component - highvoltage battery harness', 'Component - battery junction box']","['img_0_7_CC_1.png', 'img_0_7_CC_7.png']",[],[]
2,Lifting up the left side first makes removal easier.,,[],[],[],[]
2,"12.Remove the bus bar nut cap  and remove the high-voltage harness nut cap , then open the bus bar cover .",,"['Component - bus bar nut cap', 'high-voltage harness nut cap', 'Component - open bus bar cover']","['img_0_7_CC_5.png', None, 'img_6_20.png']",[],[]
4," To prevent electric shock, wear insulated protective gear.",,[],[],['insulated protective gear'],[]
2,"13.Remove the mounting nuts , and remove the bus bar  and high-voltage harness .",,"['Component - bus bar', 'Component - voltage detection harness']","['img_0_7_CC_3.png', 'img_0_7_CC_8.png']",[],['mounting nuts']
1, •  There is the danger of electric shock caused by contact with the terminals.,,[],[],[],[]
2,Be sure to wear insulated pro- tective gear and use insulated tools.,,[],[],"['insulated pro- tective gear', 'insulated tools']",[]
2,"• Because there is a risk of electric shock, immedi- ately protect the terminals of the disconnected  high-voltage harness co nnector (high-voltage terminals) with insulating tape  so that they are not exposed.",,['Component - voltage detection harness'],['img_0_7_CC_8.png'],['insulating tape'],[]
2,"• Because of the danger of electric shock, be su re to close the bus bar cover after removing the bus bar.",,"['Component - open bus bar cover', 'Component - bus bar']","['img_6_20.png', 'img_0_7_CC_3.png']",[],[]
2,14.Remove the mounting nuts  and remove the junction box .,,['Component - battery junction box'],['img_0_7_CC_7.png'],[],['mounting nuts']
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,15.Disconnect the current sensor harness connector .,,['Component - voltage detection harness'],['img_0_7_CC_8.png'],[],[]
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,JSCIA0712ZZ JSCIA0713ZZ JSCIA0595ZZ JSCIA0657ZZ Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-211< UNIT DISASSEMBLY AND ASSEMBLY > P16.Remove the bus bar mounting nut which connects the current sensor and left front module stack .,,"['Component - bus bar', 'Component - battery current sensor integrate', 'left front module stack']","['img_0_7_CC_3.png', 'img_0_7_CC_2.png', None]",[],['mounting nut']
1, •  There is the danger of electric shock caused by contact with the terminals.,,[],[],[],[]
2,Be sure to wear insulated pro- tective gear and use insulated tools.,,[],[],"['insulated pro- tective gear', 'insulated tools']",[]
2,"• Because of the danger of electric shock, be sure to close the bus bar cover after removing the bus bar.",,"['Component - open bus bar cover', 'Component - bus bar']","['img_6_20.png', 'img_0_7_CC_3.png']",[],[]
2,17.Remove the service plug switch bracket  mounting bolts .,,['Component - service plug switch bracket'],['img_0_7_CC_2.png'],[],['mounting bolts']
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,"18.Invert the service plug switch bracket and remove the high-volt- age harness mounting bolt , current sensor mounting bolt , and the connector , then remove the service plug switch bracket .",,"['Component - service plug switch bracket', 'Component - ptc heater harness connector', 'Component - battery current sensor integrate', 'connector', 'Component - service plug switch bracket']","['img_0_7_CC_2.png', 'img_0_7_CC_10.png', 'img_0_7_CC_2.png', None, 'img_0_7_CC_2.png']",[],"['mounting bolt', 'mounting bolt']"
1, •  There is the danger of electric shock caused by contact with the terminals.,,[],[],[],[]
2,Be sure to wear insulated pro- tective gear and use insulated tools.,,[],[],"['insulated pro- tective gear', 'insulated tools']",[]
2,"• Because there is a risk of electric shock, immediately protect the terminals of the discon- nected high-voltage harness connector  (high-voltage terminals) with insulating tape so that they are not exposed.",,['Component - ptc heater harness connector'],['img_0_7_CC_10.png'],['insulating tape'],[]
2,"19.Remove the mounting nuts , then remove high-voltage harness  and .",,['Component - voltage detection harness'],['img_0_7_CC_8.png'],[],['mounting nuts']
2,JSCIA0596ZZ JSCIA0597ZZ JSCIA0598ZZ Revision: June 2014 2015 Leaf NAMEVB-212< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY DANGER: •  There is the danger of electri c shock caused by contact with the terminals.Be sure to wear insulated protective gear and use insulated tools.,,['Component - battery current sensor integrate'],['img_0_7_CC_2.png'],"['insulated protective gear', 'insulated tools']",[]
2,"• Because of the danger of electric shock, be su re to close the bus bar cover after removing the bus bar.",,"['Component - open bus bar cover', 'Component - bus bar']","['img_6_20.png', 'img_0_7_CC_3.png']",[],[]
2,20.Remove the vehicle communications harness and voltage detection harness.,,"['Component - vehicle communication harness', 'Component - voltage detection harness']","['img_0_7_CC_10.png', 'img_0_7_CC_8.png']",[],[]
4," To prevent electric shock, wear insulated protective gear and use insulated tools.",,[],[],"['insulated protective gear', 'insulated tools']",[]
2,": Harness clip JSCIA0764ZZ Vehicle communications harness Voltage detection harness Snap ring : Harness clip JSCIA0765ZZ Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-213< UNIT DISASSEMBLY AND ASSEMBLY > PASSEMBLY Note the following items, and disassembly in the reverse order of disassembly.",,"['Component - : harness clip', 'Component - vehicle communication harness', 'Component - voltage detection harness', 'Component - snap ring', 'Component - : harness clip']","['img_8_11.png', 'img_0_7_CC_10.png', 'img_0_7_CC_8.png', 'img_0_7_CC_2.png', 'img_8_11.png']",[],[]
1, •  There is the danger of electric shock caused by contact with the terminals.,,[],[],[],[]
2,Be sure to wear insulated protective gear and use insulated tools.,,[],[],"['insulated protective gear', 'insulated tools']",[]
2,"• Because there is a danger of electric shock and fi re, never allow bus bar to contact a wrong ter- minal.",,['Component - bus bar'],['img_0_7_CC_3.png'],[],[]
2,"- If bus bar contacts a wrong terminal, the circ uit becomes energized and a short may occur.",,['Component - bus bar'],['img_0_7_CC_3.png'],[],[]
2,- Always keep the bus bar cover closed until imme diately before the installation of bus bar.,,"['Component - open bus bar cover', 'Component - bus bar']","['img_6_20.png', 'img_0_7_CC_3.png']",[],[]
2,"- Since the correct installation posi tion for the bus bar connected to  both front module stacks is com- monly-confused with the wrong posi tion , install the bus bar to th e correct position  with extreme caution.",,"['Component - bus bar', 'front module stacks', 'Component - bus bar']","['img_0_7_CC_3.png', None, 'img_0_7_CC_3.png']",[],[]
4, Install the Li-ion battery controll er immediately before installing the battery pack upper case.,,"['Component - battery current sensor integrate', 'Component - : battery front']","['img_0_7_CC_2.png', 'img_2_10.png']",[],[]
2,"Refer to EVB-201, ""LI-ION BATTERY CONTROLL ER : Removal and Installation"" .",,['Component - battery current sensor integrate'],['img_0_7_CC_2.png'],[],[]
2,CAUTION: • Perform the “LI-ION BATTERY JUNCTION BOX DATA CLEAR” when battery junction box is replaced.,,"['Component - battery junction box', 'Component - battery junction box']","['img_0_7_CC_7.png', 'img_0_7_CC_7.png']",[],[]
2,"Refer to EVC-137, ""Work Procedure"" .",,[],[],[],[]
2,• Be sure to reinstall the high volt age harness clips in their original positions.,,"['high volt age', 'Component - : harness clip']","[None, 'img_8_11.png']",[],[]
2,"If a clip is damaged, replace it with a new cl ip before installing.",,"['clip', 'cl ip']","[None, None]",[],[]
2,"• Check the following items after installing battery pack: Refer to EVB-256, ""Inspection"" .",,['Component - : battery front'],['img_2_10.png'],[],[]
2,AIR LEAK INSPECTION ELECTRIC EQUIPOTENTIAL TEST LI-ION BATTERY HEATER Correct position Wrong position : Battery front JSCIA0873ZZ Revision: June 2014 2015 Leaf NAM,,['Component - liion battery heater harness connector'],['img_5_46.png'],[],[]
